OBJECTID,Route_Number,Route_Name,Ridership_Total,Route_Hour,Route_Hour_Description,Route_Date
1273339,4,Rosedale,41,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273340,53,Notting Park,35,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273341,55,Port Wallace,3,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273342,56,Dartmouth Crossing,5,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273343,58,Woodlawn,8,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273344,7,Robie,44,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273345,80,Sackville,37,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273346,82,Millwood,3,17.50,5:30pm to 5:59pm,2017-12-24 10:00:00.0000000
1273347,1,Spring Garden,98,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273348,10,Dalhousie,41,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273349,14,Leiblin Park,18,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273350,15,Purcells Cove,2,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273351,18,Universities,22,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273352,21,Lakeside - Timberlea,5,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273353,29,Barrington,28,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273354,320,Airport - Fall River Regi,24,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273355,400,Beaver Bank,0,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273356,55,Port Wallace,2,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273357,59,Colby,10,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273358,60,Eastern Passage - Heritag,20,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273359,65,Caldwell,1,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273360,66,Penhorn,13,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273361,68,Cherry Brook,20,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273362,7,Robie,43,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273363,72,Portland Hills,14,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273364,83,Springfield,4,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273365,87,Glendale,9,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273366,90,Larry Uteck,13,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
1273367,9B,Herring Cove,64,18.00,6:00pm to 6:29pm,2017-12-24 10:00:00.0000000
